E423
 1.0000000     0.0000000
 0.9965500     0.0015900
 0.9870600     0.0065000
 0.9730400     0.0143400
 0.9553000     0.0238100
 0.9335800     0.0337600
 0.9073400     0.0440000
 0.8767100     0.0548100
 0.8422100     0.0662000
 0.8043600     0.0780300
 0.7637300     0.0901000
 0.7209000     0.1021500
 0.6764400     0.1139100
 0.6309200     0.1250600
 0.5849100     0.1352400
 0.5389300     0.1441000
 0.4934700     0.1511600
 0.4487000     0.1559300
 0.4046400     0.1582800
 0.3614900     0.1582400
 0.3194700     0.1559000
 0.2788500     0.1513800
 0.2398700     0.1448500
 0.2028600     0.1365700
 0.1681600     0.1267600
 0.1361100     0.1156200
 0.1070000     0.1033700
 0.0810600     0.0902300
 0.0585200     0.0764600
 0.0395300     0.0623200
 0.0242100     0.0481200
 0.0126200     0.0341900
 0.0048100     0.0209300
 0.0007100     0.0087900
 0.0000200     0.0008800
 0.0003300    -0.0019200
 0.0007100    -0.0036200
 0.0012500    -0.0051800
 0.0015700    -0.0059000
 0.0019400    -0.0065600
 0.0023700    -0.0071700
 0.0028800    -0.0077100
 0.0034800    -0.0082300
 0.0041500    -0.0087400
 0.0057100    -0.0096900
 0.0075100    -0.0105700
 0.0106500    -0.0117700
 0.0136500    -0.0126600
 0.0289200    -0.0148500
 0.0494700    -0.0148200
 0.0753300    -0.0123600
 0.1067000    -0.0074000
 0.1438500    -0.0000200
 0.1872700     0.0092200
 0.2368800     0.0191300
 0.2919600     0.0286500
 0.3516300     0.0368700
 0.4144900     0.0428300
 0.4786700     0.0462600
 0.5427500     0.0476000
 0.6057900     0.0471500
 0.6669000     0.0450100
 0.7250300     0.0412600
 0.7791200     0.0362500
 0.8283600     0.0305000
 0.8721900     0.0244400
 0.9101200     0.0184400
 0.9417900     0.0128600
 0.9669200     0.0079400
 0.9851900     0.0039000
 0.9962900     0.0010600
 1.0000000     0.0000000
